utt_id,speaker_id,clean_path,noisy_path,split
p274_089,p274,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p274_089.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p274_089.wav,train
p233_038,p233,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p233_038.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p233_038.wav,train
p244_424,p244,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p244_424.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p244_424.wav,train
p230_059,p230,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p230_059.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p230_059.wav,train
p270_103,p270,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p270_103.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p270_103.wav,train
p227_320,p227,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p227_320.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p227_320.wav,train
p256_001,p256,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p256_001.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p256_001.wav,train
p277_314,p277,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p277_314.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p277_314.wav,train
p270_024,p270,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p270_024.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p270_024.wav,train
p277_333,p277,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p277_333.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p277_333.wav,train
p267_309,p267,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p267_309.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p267_309.wav,train
p236_204,p236,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p236_204.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p236_204.wav,train
p231_449,p231,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p231_449.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p231_449.wav,train
p236_333,p236,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p236_333.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p236_333.wav,train
p228_165,p228,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p228_165.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p228_165.wav,train
p274_104,p274,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p274_104.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p274_104.wav,train
p258_038,p258,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p258_038.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p258_038.wav,train
p239_423,p239,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p239_423.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p239_423.wav,train
p278_382,p278,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p278_382.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p278_382.wav,train
p259_011,p259,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p259_011.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p259_011.wav,train
p228_051,p228,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p228_051.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p228_051.wav,train
p236_399,p236,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p236_399.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p236_399.wav,train
p276_102,p276,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p276_102.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p276_102.wav,train
p276_134,p276,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p276_134.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p276_134.wav,train
p259_069,p259,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p259_069.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p259_069.wav,train
p277_073,p277,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p277_073.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p277_073.wav,train
p244_077,p244,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p244_077.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p244_077.wav,train
p239_287,p239,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p239_287.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p239_287.wav,train
p274_055,p274,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p274_055.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p274_055.wav,train
p231_470,p231,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p231_470.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p231_470.wav,train
p277_154,p277,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p277_154.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p277_154.wav,train
p254_262,p254,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p254_262.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p254_262.wav,train
p239_084,p239,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p239_084.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p239_084.wav,train
p256_296,p256,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p256_296.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p256_296.wav,train
p278_089,p278,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p278_089.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p278_089.wav,train
p273_045,p273,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p273_045.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p273_045.wav,train
p278_011,p278,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p278_011.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p278_011.wav,train
p269_117,p269,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p269_117.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p269_117.wav,train
p226_261,p226,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p226_261.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p226_261.wav,train
p269_102,p269,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p269_102.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p269_102.wav,train
p233_059,p233,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p233_059.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p233_059.wav,train
p239_061,p239,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p239_061.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p239_061.wav,train
p279_172,p279,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p279_172.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p279_172.wav,train
p282_234,p282,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p282_234.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p282_234.wav,train
p269_009,p269,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p269_009.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p269_009.wav,train
p239_104,p239,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p239_104.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p239_104.wav,train
p230_097,p230,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p230_097.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p230_097.wav,train
p233_344,p233,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p233_344.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p233_344.wav,train
p287_253,p287,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p287_253.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p287_253.wav,train
p282_175,p282,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p282_175.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p282_175.wav,train
p258_069,p258,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p258_069.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p258_069.wav,train
p268_130,p268,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p268_130.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p268_130.wav,train
