utt_id,speaker_id,clean_path,noisy_path,split,clean_processed,noisy_processed
p274_089,p274,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p274_089.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p274_089.wav,train,data/processed/train/clean/p274_089.wav,data/processed/train/noisy/p274_089.wav
p233_038,p233,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p233_038.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p233_038.wav,train,data/processed/train/clean/p233_038.wav,data/processed/train/noisy/p233_038.wav
p244_424,p244,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p244_424.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p244_424.wav,train,data/processed/train/clean/p244_424.wav,data/processed/train/noisy/p244_424.wav
p230_059,p230,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p230_059.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p230_059.wav,train,data/processed/train/clean/p230_059.wav,data/processed/train/noisy/p230_059.wav
p270_103,p270,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p270_103.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p270_103.wav,train,data/processed/train/clean/p270_103.wav,data/processed/train/noisy/p270_103.wav
p227_320,p227,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p227_320.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p227_320.wav,train,data/processed/train/clean/p227_320.wav,data/processed/train/noisy/p227_320.wav
p256_001,p256,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p256_001.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p256_001.wav,train,data/processed/train/clean/p256_001.wav,data/processed/train/noisy/p256_001.wav
p277_314,p277,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p277_314.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p277_314.wav,train,data/processed/train/clean/p277_314.wav,data/processed/train/noisy/p277_314.wav
p270_024,p270,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p270_024.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p270_024.wav,train,data/processed/train/clean/p270_024.wav,data/processed/train/noisy/p270_024.wav
p277_333,p277,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p277_333.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p277_333.wav,train,data/processed/train/clean/p277_333.wav,data/processed/train/noisy/p277_333.wav
p267_309,p267,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p267_309.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p267_309.wav,train,data/processed/train/clean/p267_309.wav,data/processed/train/noisy/p267_309.wav
p236_204,p236,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p236_204.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p236_204.wav,train,data/processed/train/clean/p236_204.wav,data/processed/train/noisy/p236_204.wav
p231_449,p231,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p231_449.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p231_449.wav,train,data/processed/train/clean/p231_449.wav,data/processed/train/noisy/p231_449.wav
p236_333,p236,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p236_333.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p236_333.wav,train,data/processed/train/clean/p236_333.wav,data/processed/train/noisy/p236_333.wav
p228_165,p228,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p228_165.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p228_165.wav,train,data/processed/train/clean/p228_165.wav,data/processed/train/noisy/p228_165.wav
p274_104,p274,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p274_104.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p274_104.wav,train,data/processed/train/clean/p274_104.wav,data/processed/train/noisy/p274_104.wav
p258_038,p258,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p258_038.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p258_038.wav,train,data/processed/train/clean/p258_038.wav,data/processed/train/noisy/p258_038.wav
p239_423,p239,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p239_423.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p239_423.wav,train,data/processed/train/clean/p239_423.wav,data/processed/train/noisy/p239_423.wav
p278_382,p278,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p278_382.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p278_382.wav,train,data/processed/train/clean/p278_382.wav,data/processed/train/noisy/p278_382.wav
p259_011,p259,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p259_011.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p259_011.wav,train,data/processed/train/clean/p259_011.wav,data/processed/train/noisy/p259_011.wav
p228_051,p228,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p228_051.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p228_051.wav,train,data/processed/train/clean/p228_051.wav,data/processed/train/noisy/p228_051.wav
p236_399,p236,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p236_399.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p236_399.wav,train,data/processed/train/clean/p236_399.wav,data/processed/train/noisy/p236_399.wav
p276_102,p276,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p276_102.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p276_102.wav,train,data/processed/train/clean/p276_102.wav,data/processed/train/noisy/p276_102.wav
p276_134,p276,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p276_134.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p276_134.wav,train,data/processed/train/clean/p276_134.wav,data/processed/train/noisy/p276_134.wav
p259_069,p259,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p259_069.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p259_069.wav,train,data/processed/train/clean/p259_069.wav,data/processed/train/noisy/p259_069.wav
p277_073,p277,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p277_073.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p277_073.wav,train,data/processed/train/clean/p277_073.wav,data/processed/train/noisy/p277_073.wav
p244_077,p244,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p244_077.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p244_077.wav,train,data/processed/train/clean/p244_077.wav,data/processed/train/noisy/p244_077.wav
p239_287,p239,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p239_287.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p239_287.wav,train,data/processed/train/clean/p239_287.wav,data/processed/train/noisy/p239_287.wav
p274_055,p274,data/raw/clean_trainset_28spk_wav/clean_trainset_28spk_wav/p274_055.wav,data/raw/noisy_trainset_28spk_wav/noisy_trainset_28spk_wav/p274_055.wav,train,data/processed/train/clean/p274_055.wav,data/processed/train/noisy/p274_055.wav
